id_session,session_date,id_user,age,gender,height_m,experience_level,weight_kg,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,water_intake_liters,workout_frequency_days_per_week,bmi
11,2026-02-23,10,18,Female,1.51,2.0,61.0,173.0,146.0,58.0,2.0,1403.0,Cardio,21.7,2.1,2.0,12.32
12,2026-02-23,11,18,Female,1.51,3.0,64.0,176.0,129.0,74.0,1.18,992.0,Strength,26.7,3.4,5.0,14.98
13,2026-02-23,12,18,Female,1.53,1.0,73.6,186.0,128.0,50.0,1.46,1222.0,Cardio,25.2,2.3,3.0,14.92
14,2026-02-23,13,18,Female,1.54,1.0,77.4,177.0,144.0,68.0,1.94,1619.0,HIIT,22.3,4.8,3.0,39.74
15,2026-02-23,14,18,Female,1.55,2.0,77.7,178.0,131.0,67.0,1.4,1259.0,Strength,14.8,2.4,3.0,12.32
16,2026-02-23,15,18,Female,1.56,1.0,41.3,196.0,159.0,59.0,2.06,2524.0,Strength,27.35,5.5,2.0,12.72
17,2026-02-23,16,18,Female,1.58,1.0,61.9,184.0,141.0,,1.63,900.0,Yoga,25.2,3.7,2.0,18.23
18,2026-02-23,17,18,Female,1.59,1.0,83.3,165.0,169.0,72.0,1.19,997.0,Strength,25.7,3.3,3.0,31.83
19,2026-02-23,18,18,Female,1.6,,68.7,163.0,135.0,61.0,1.05,367.0,Yoga,23.1,3.6,3.0,33.26
20,2026-02-23,19,18,Female,1.61,3.0,57.1,198.0,129.0,66.0,0.94,1064.0,Cardio,31.7,2.4,2.0,19.32
21,2026-02-23,20,18,Female,1.62,,66.8,161.0,169.0,74.0,1.57,1410.0,HIIT,30.2,3.3,,22.63
22,2026-02-23,21,18,Female,1.64,2.0,44.2,196.0,166.0,70.0,2.04,2004.0,Strength,20.95,5.5,5.0,19.2
23,2026-02-23,22,18,Female,1.64,3.0,76.1,196.0,169.0,63.0,1.43,686.0,Cardio,34.8,1.5,3.0,33.24
24,2026-02-23,23,18,Female,1.66,1.0,68.1,160.0,120.0,65.0,1.43,1343.0,Cardio,27.2,3.3,4.0,25.77
25,2026-02-23,24,18,Female,1.66,2.0,83.2,196.0,138.0,55.0,5.23,3524.0,Yoga,21.37,6.1,4.0,18.98
26,2026-02-23,25,18,Female,1.66,3.0,40.0,190.0,147.0,50.0,1.6,1287.0,Cardio,27.6,1.9,5.0,22.99
27,2026-02-23,26,18,Female,1.67,1.0,83.5,162.0,169.0,70.0,1.54,1389.0,Cardio,12.1,1.7,2.0,33.8
28,2026-02-23,27,18,Female,1.68,2.0,53.5,198.0,134.0,74.0,1.9,368.0,HIIT,28.1,3.1,5.0,23.57
29,2026-02-23,28,18,Female,1.68,,54.2,199.0,137.0,74.0,1.67,972.0,HIIT,14.1,3.4,2.0,15.66
30,2026-02-23,29,18,Female,1.69,2.0,59.7,187.0,151.0,54.0,2.63,1157.0,Yoga,19.0,3.3,3.0,13.78
31,2026-02-23,30,18,Female,1.7,1.0,75.9,183.0,151.0,51.0,1.01,1289.0,HIIT,30.1,3.2,2.0,24.94
32,2026-02-23,31,18,Female,1.7,3.0,53.8,197.0,120.0,69.0,1.01,1274.0,Strength,31.4,2.4,3.0,15.72
33,2026-02-23,32,18,Female,1.71,1.0,83.95,199.0,143.0,52.0,3.08,2379.0,Yoga,25.5,4.6,2.0,21.35
34,2026-02-23,33,18,Female,1.71,2.0,67.5,185.0,166.0,58.0,1.81,1162.0,Cardio,10.6,3.5,3.0,37.91
35,2026-02-23,34,18,Female,1.71,3.0,75.55,194.0,156.0,63.0,2.76,1198.0,Strength,27.7,6.1,3.0,21.45
36,2026-02-23,35,18,Female,1.71,,49.3,162.0,160.0,52.0,1.23,375.0,Yoga,29.4,3.4,5.0,14.06
37,2026-02-23,36,18,Female,1.72,2.0,57.15,180.0,147.0,64.0,5.38,3135.0,Strength,24.43,8.1,4.0,23.16
38,2026-02-23,37,18,Female,1.72,3.0,49.0,190.0,153.0,60.0,0.72,862.0,HIIT,24.4,2.8,4.0,17.26
39,2026-02-23,38,18,Female,1.73,1.0,51.27,183.0,142.0,67.0,4.06,3186.0,Cardio,19.27,10.0,3.0,14.24
40,2026-02-23,39,18,Female,1.74,2.0,51.55,197.0,139.0,63.0,3.36,2547.0,Cardio,21.1,4.9,3.0,18.12
41,2026-02-23,40,18,Female,1.74,3.0,40.0,160.0,145.0,74.0,0.53,907.0,Strength,24.8,3.6,,24.44
42,2026-02-23,41,18,Female,1.75,1.0,52.2,171.0,165.0,72.0,1.45,570.0,Strength,26.1,3.4,4.0,12.48
43,2026-02-23,42,18,Female,1.75,2.0,54.23,183.0,129.0,58.0,4.22,2655.0,HIIT,19.6,9.5,3.0,16.03
44,2026-02-23,43,18,Female,1.75,3.0,45.3,190.0,169.0,69.0,0.82,808.0,Cardio,28.4,3.7,2.0,26.5
45,2026-02-23,44,18,Female,1.76,1.0,59.9,179.0,169.0,66.0,1.26,1024.0,Cardio,,2.1,3.0,18.69
46,2026-02-23,45,18,Female,1.76,2.0,129.9,176.0,151.0,54.0,2.51,2120.0,Strength,26.75,5.6,2.0,19.81
47,2026-02-23,46,18,Female,1.76,3.0,110.3,168.0,169.0,55.0,1.86,1391.0,Strength,33.0,3.5,5.0,16.38
48,2026-02-23,47,18,Female,1.77,1.0,42.45,189.0,132.0,65.0,2.26,1341.0,Cardio,18.5,6.3,4.0,18.37
49,2026-02-23,48,18,Female,1.77,2.0,56.9,183.0,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,18.57
50,2026-02-23,49,18,Female,1.78,3.0,69.9,160.0,143.0,74.0,2.0,930.0,HIIT,19.6,2.0,3.0,12.32
