food_item,count
Salami (3 slices),6
Tzatziki Sauce (2 tbsp),6
Olive Oil (1 tbsp drizzle),6
Chimichurri (1 tbsp),6
Lemonade (1 cup),3
Potato Salad (1/2 cup),3
Horchata (1 cup),3
Lime (juice of 1),3
Collard Greens (1 cup cooked),3
Figs (2 medium),3
Chicken & Rice Soup (1 can),3
Tabouli (1/2 cup),3
Espresso (1 oz in drink),3
Crushed Tomatoes (1/2 cup sauce),3
Hummus Wrap (large),3
Cheese Danish,3
Soyrizo (2 oz),3
Olives (Kalamata 5 large),3
Tiramisu (1 slice),3
Veggie Straws (1 oz),3
Cereal (Frosted Flakes 1 cup),3
Salsa (1/4 cup),3
Celery (1/4 stalk minced),3
Coconut (shredded 1/4 cup),3
Ricotta (filling 1 oz),3
Gochugaru (1 tsp),3
Mango (1 cup slices),3
Celery Sticks (1 cup),3
Aioli (Garlic 1 tbsp),3
Lentil Soup (1 cup Middle Eastern),3
Cumin (1 tsp),3
Quinoa (1 cup cooked),3
Prosciutto (1 slice),3
Breadstick (1 large),3
Carrot (1/4 minced in sauce),3
Corn Nuts (1 oz),3
Mint Tea (1 cup),3
Raita (2 tbsp),3
Ceviche (1 cup fish),3
Powdered Sugar (1 tsp),3
Dim Sum (Siu Mai 3 pcs),3
Sugar (1 tsp for cereal),3
Waffle Cone (1 small),3
Feta Cheese (1 oz),3
Mozzarella (1 slice),3
Peanut Butter (2 tbsp),3
Flan (1 slice),3
Thai Iced Tea (1 glass),3
Cardamom (in coffee),3
Garlic Sauce (Toum 1 tbsp),3
Sweet & Sour Chicken (1 cup),3
Bell Pepper (1 medium red),3
Dates (2 medium Medjool),3
Eggo Waffle (2 waffles),3
Chocolate Chip Cookie (1 large),3
Beets (1/2 cup roasted),3
Chicken Wrap (with tortilla),3
Italian Sausage (1 link),3
Salsa (2 tbsp),3
Wasabi (1 tsp),3
Grilled Cheese Sandwich,3
Pesto (1/4 cup),3
Hummus (1/4 cup),3
Chicken Salad Sandwich,3
Rice Krispies (1.5 cups),3
White Wine Sauce (1/4 cup),3
Garlic Bread (1 slice),3
Vodka (1.5 oz),3
Protein Bar,3
Turkey Sausage (1 patty),3
Philly Cheesesteak (6 inch),3
Turkish Coffee (1 small cup),3
Pulled Pork Sandwich,3
Baklava (1 piece),3
Baba Ganoush (1/4 cup),3
Ricotta Cheese (1/4 cup),3
Cereal Bar (Fruit),3
Pork Belly (1 oz in soup),3
Naan Bread (1 piece),3
Protein Shake (Whey),3
Parsley (1/4 cup in tabouli),3
Macaroni & Cheese (1 cup),3
Crackers (5 whole wheat),3
Split Pea Soup (1 cup),3
French Onion Soup (1 cup),3
Congee (1 cup plain),3
Potato Chips (1 oz),3
Artichoke (1 medium steamed),3
Veal Parmesan (1 serving),3
Sesame Oil (1 tsp),3
Tuna (Canned 3oz in water),3
Calamari (fried 3oz),3
Polenta (1 cup creamy),3
Oat Milk (1 cup),3
Candied Fruit (1 tbsp),3
Orange Sauce (1/4 cup for duck),3
Mint (1 tbsp in tabouli),3
Quinoa Salad (1 cup),3
Lemon Slice (garnish),3
Wild Rice (1 cup cooked),3
Gremolata (1 tbsp),3
Ketchup (1 tbsp),3
Chicken Liver (2 oz cooked),3
Limoncello (1.5 oz shot),3
Pear,3
Green Beans (1/2 cup w/ pasta),3
Trofie Pasta (1 cup cooked),3
Pizza (Margherita 1 slice),3
Spring Roll (Veg 2 rolls),3
Cucumber Salad (1/2 cup),3
Swiss Cheese (1 slice),3
Whiskey (1.5 oz shot),3
Turkey Sandwich (on wheat),3
Lasagna (1 serving meat),3
Coconut Water (1 cup),3
Sumac (1/2 tsp dressing),3
